O*NET-SOC Code,Task ID,Scale ID,Category,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Date,Domain Source
17-2111.02,8988,IM,,4.0,19.0,,,,,08/2021,Occupational Expert
17-2111.02,23902,IM,,3.94,17.0,,,,,08/2021,Occupational Expert
17-2111.02,8986,IM,,3.82,17.0,,,,,08/2021,Occupational Expert
17-2111.02,8989,IM,,3.76,17.0,,,,,08/2021,Occupational Expert
17-2111.02,8992,IM,,3.58,19.0,,,,,08/2021,Occupational Expert
17-2111.02,8991,IM,,3.5,20.0,,,,,08/2021,Occupational Expert
17-2111.02,8993,IM,,3.47,15.0,,,,,08/2021,Occupational Expert
17-2111.02,8990,IM,,3.33,18.0,,,,,08/2021,Occupational Expert
17-2111.02,8994,IM,,3.31,16.0,,,,,08/2021,Occupational Expert
17-2112.00,18607,IM,,3.97,70.0,0.1177,3.7341,4.2037,N,08/2020,Incumbent
17-2112.00,1394,IM,,3.92,76.0,0.0992,3.7232,4.1183,N,08/2020,Incumbent
17-2112.00,1391,IM,,3.8,71.0,0.1013,3.5937,3.9979,N,08/2020,Incumbent
17-2112.00,18609,IM,,3.78,80.0,0.1167,3.5515,4.0161,N,08/2020,Incumbent
17-2112.00,1400,IM,,3.71,78.0,0.1015,3.5035,3.9077,N,08/2020,Incumbent
17-2112.00,1407,IM,,3.68,70.0,0.1566,3.3626,3.9876,N,08/2020,Incumbent
17-2112.00,1393,IM,,3.67,75.0,0.1236,3.4229,3.9156,N,08/2020,Incumbent
17-2112.00,1403,IM,,3.66,72.0,0.0995,3.4614,3.8582,N,08/2020,Incumbent
17-2112.00,1398,IM,,3.63,66.0,0.1493,3.3304,3.9269,N,08/2020,Incumbent
17-2112.00,1405,IM,,3.59,67.0,0.1376,3.3191,3.8685,N,08/2020,Incumbent
17-2112.00,1392,IM,,3.5,66.0,0.0876,3.3298,3.6796,N,08/2020,Incumbent
17-2112.00,1399,IM,,3.47,75.0,0.1082,3.2505,3.6818,N,08/2020,Incumbent
17-2112.00,1408,IM,,3.43,70.0,0.1295,3.1678,3.6847,N,08/2020,Incumbent
17-2112.00,18608,IM,,3.42,71.0,0.1501,3.1243,3.7229,N,08/2020,Incumbent
17-2112.00,1406,IM,,3.42,61.0,0.1544,3.1069,3.7247,N,08/2020,Incumbent
17-2112.00,1395,IM,,3.37,58.0,0.1341,3.1,3.637,N,08/2020,Incumbent
17-2112.00,1404,IM,,3.28,58.0,0.1367,3.0068,3.5543,N,08/2020,Incumbent
17-2112.00,1402,IM,,3.11,62.0,0.1531,2.8062,3.4182,N,08/2020,Incumbent
17-2112.00,1410,IM,,3.19,50.0,0.1662,2.8518,3.5199,N,08/2020,Incumbent
17-2112.00,1409,IM,,3.11,39.0,0.1037,2.9046,3.3243,N,08/2020,Incumbent
17-2112.01,16393,IM,,4.7,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16378,IM,,4.55,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16396,IM,,4.5,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16387,IM,,4.47,19.0,,,,,08/2024,Occupational Expert
17-2112.01,16381,IM,,4.4,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16379,IM,,4.37,19.0,,,,,08/2024,Occupational Expert
17-2112.01,16383,IM,,4.35,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16380,IM,,4.32,19.0,,,,,08/2024,Occupational Expert
17-2112.01,16392,IM,,4.26,19.0,,,,,08/2024,Occupational Expert
17-2112.01,16386,IM,,4.2,15.0,,,,,08/2024,Occupational Expert
17-2112.01,16385,IM,,4.18,17.0,,,,,08/2024,Occupational Expert
17-2112.01,16374,IM,,4.17,18.0,,,,,08/2024,Occupational Expert
17-2112.01,16397,IM,,4.16,19.0,,,,,08/2024,Occupational Expert
17-2112.01,16372,IM,,4.15,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16373,IM,,4.0,19.0,,,,,08/2024,Occupational Expert
17-2112.01,16391,IM,,3.95,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16375,IM,,3.88,16.0,,,,,08/2024,Occupational Expert
17-2112.01,16388,IM,,3.84,19.0,,,,,08/2024,Occupational Expert
17-2112.01,16389,IM,,3.8,15.0,,,,,08/2024,Occupational Expert
17-2112.01,16377,IM,,3.6,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16390,IM,,3.55,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16395,IM,,3.53,17.0,,,,,08/2024,Occupational Expert
17-2112.01,16376,IM,,3.44,16.0,,,,,08/2024,Occupational Expert
17-2112.01,16384,IM,,3.4,20.0,,,,,08/2024,Occupational Expert
17-2112.01,16382,IM,,3.4,15.0,,,,,08/2024,Occupational Expert
17-2112.01,16394,IM,,3.2,15.0,,,,,08/2024,Occupational Expert
17-2112.02,21051,IM,,4.63,19.0,,,,,08/2018,Occupational Expert
17-2112.02,18131,IM,,4.55,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18129,IM,,4.37,19.0,,,,,08/2018,Occupational Expert
17-2112.02,18137,IM,,4.3,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18144,IM,,4.2,15.0,,,,,08/2018,Occupational Expert
17-2112.02,18127,IM,,4.15,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18142,IM,,4.11,19.0,,,,,08/2018,Occupational Expert
17-2112.02,18146,IM,,4.1,20.0,,,,,08/2018,Occupational Expert
17-2112.02,21052,IM,,4.0,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18128,IM,,3.9,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18130,IM,,3.82,17.0,,,,,08/2018,Occupational Expert
17-2112.02,18133,IM,,3.75,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18139,IM,,3.75,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18132,IM,,3.7,20.0,,,,,08/2018,Occupational Expert
17-2112.02,21053,IM,,3.58,19.0,,,,,08/2018,Occupational Expert
17-2112.02,18134,IM,,3.55,20.0,,,,,08/2018,Occupational Expert
17-2112.02,18143,IM,,3.5,18.0,,,,,08/2018,Occupational Expert
17-2112.02,18145,IM,,3.47,19.0,,,,,08/2018,Occupational Expert
17-2112.02,19647,IM,,3.42,12.0,,,,,08/2018,Occupational Expert
17-2112.02,18141,IM,,3.35,20.0,,,,,08/2018,Occupational Expert
17-2112.02,21054,IM,,2.79,14.0,,,,,08/2018,Occupational Expert
17-2112.03,18181,IM,,4.35,26.0,,,,,07/2017,Occupational Expert
17-2112.03,18177,IM,,4.27,22.0,,,,,07/2017,Occupational Expert
17-2112.03,20960,IM,,4.19,26.0,,,,,07/2017,Occupational Expert
17-2112.03,18167,IM,,4.16,25.0,,,,,07/2017,Occupational Expert
17-2112.03,18183,IM,,4.04,25.0,,,,,07/2017,Occupational Expert
17-2112.03,20961,IM,,3.96,24.0,,,,,07/2017,Occupational Expert
17-2112.03,18180,IM,,3.92,26.0,,,,,07/2017,Occupational Expert
17-2112.03,20962,IM,,3.92,26.0,,,,,07/2017,Occupational Expert
17-2112.03,18182,IM,,3.87,23.0,,,,,07/2017,Occupational Expert
17-2112.03,18178,IM,,3.83,24.0,,,,,07/2017,Occupational Expert
17-2112.03,18168,IM,,3.83,23.0,,,,,07/2017,Occupational Expert
17-2112.03,18170,IM,,3.81,26.0,,,,,07/2017,Occupational Expert
17-2112.03,18185,IM,,3.63,19.0,,,,,07/2017,Occupational Expert
17-2112.03,18172,IM,,3.62,24.0,,,,,07/2017,Occupational Expert
17-2112.03,18175,IM,,3.62,21.0,,,,,07/2017,Occupational Expert
17-2112.03,18174,IM,,3.58,24.0,,,,,07/2017,Occupational Expert
17-2112.03,18186,IM,,3.56,25.0,,,,,07/2017,Occupational Expert
17-2112.03,20963,IM,,3.48,23.0,,,,,07/2017,Occupational Expert
17-2112.03,19649,IM,,3.37,19.0,,,,,07/2017,Occupational Expert
17-2112.03,19650,IM,,3.32,22.0,,,,,07/2017,Occupational Expert
17-2112.03,18179,IM,,3.25,20.0,,,,,07/2017,Occupational Expert
17-2112.03,19651,IM,,3.09,23.0,,,,,07/2017,Occupational Expert
17-2112.03,18184,IM,,3.08,26.0,,,,,07/2017,Occupational Expert
17-2112.03,19652,IM,,2.64,22.0,,,,,07/2017,Occupational Expert
17-2121.00,21887,IM,,4.23,,,,,N,11/2020,Analyst - Transition
17-2121.00,21888,IM,,4.22,,,,,,11/2020,Analyst - Transition
17-2121.00,21889,IM,,4.14,,,,,N,11/2020,Analyst - Transition
17-2121.00,21890,IM,,4.11,,,,,,11/2020,Analyst - Transition
17-2121.00,21891,IM,,4.08,,,,,N,11/2020,Analyst - Transition
17-2121.00,21892,IM,,4.07,,,,,N,11/2020,Analyst - Transition
17-2121.00,21893,IM,,4.0,,,,,,11/2020,Analyst - Transition
17-2121.00,21894,IM,,3.94,,,,,,11/2020,Analyst - Transition
17-2121.00,21895,IM,,3.85,,,,,N,11/2020,Analyst - Transition
17-2121.00,21896,IM,,3.77,,,,,,11/2020,Analyst - Transition
17-2121.00,21897,IM,,3.75,,,,,,11/2020,Analyst - Transition
17-2121.00,21898,IM,,3.68,,,,,,11/2020,Analyst - Transition
17-2121.00,21899,IM,,3.68,,,,,,11/2020,Analyst - Transition
17-2121.00,21900,IM,,3.68,,,,,,11/2020,Analyst - Transition
17-2121.00,21901,IM,,3.67,,,,,,11/2020,Analyst - Transition
17-2121.00,21902,IM,,3.67,,,,,,11/2020,Analyst - Transition
17-2121.00,21903,IM,,3.56,,,,,,11/2020,Analyst - Transition
17-2121.00,21904,IM,,3.55,,,,,,11/2020,Analyst - Transition
17-2121.00,21905,IM,,3.55,,,,,,11/2020,Analyst - Transition
17-2121.00,21906,IM,,3.53,,,,,,11/2020,Analyst - Transition
17-2121.00,21907,IM,,3.43,,,,,,11/2020,Analyst - Transition
17-2121.00,21908,IM,,3.39,,,,,,11/2020,Analyst - Transition
17-2121.00,21909,IM,,3.33,,,,,,11/2020,Analyst - Transition
17-2121.00,21910,IM,,3.3,,,,,,11/2020,Analyst - Transition
17-2121.00,21911,IM,,3.3,,,,,,11/2020,Analyst - Transition
17-2121.00,21912,IM,,3.24,,,,,,11/2020,Analyst - Transition
17-2121.00,21913,IM,,3.1,,,,,,11/2020,Analyst - Transition
17-2121.00,21914,IM,,3.53,,,,,,11/2020,Analyst - Transition
17-2131.00,9001,IM,,4.3,20.0,,,,,08/2020,Occupational Expert
17-2131.00,9004,IM,,4.2,20.0,,,,,08/2020,Occupational Expert
17-2131.00,9002,IM,,4.16,19.0,,,,,08/2020,Occupational Expert
17-2131.00,9006,IM,,4.11,19.0,,,,,08/2020,Occupational Expert
17-2131.00,9005,IM,,4.1,20.0,,,,,08/2020,Occupational Expert
17-2131.00,9012,IM,,4.06,17.0,,,,,08/2020,Occupational Expert
17-2131.00,9015,IM,,4.05,20.0,,,,,08/2020,Occupational Expert
17-2131.00,9013,IM,,4.05,21.0,,,,,08/2020,Occupational Expert
17-2131.00,9010,IM,,3.95,19.0,,,,,08/2020,Occupational Expert
17-2131.00,9003,IM,,3.9,21.0,,,,,08/2020,Occupational Expert
17-2131.00,9014,IM,,3.86,21.0,,,,,08/2020,Occupational Expert
17-2131.00,9009,IM,,3.8,20.0,,,,,08/2020,Occupational Expert
17-2131.00,9017,IM,,3.75,16.0,,,,,08/2020,Occupational Expert
17-2131.00,9008,IM,,3.65,20.0,,,,,08/2020,Occupational Expert
17-2131.00,9016,IM,,3.56,18.0,,,,,08/2020,Occupational Expert
17-2131.00,9007,IM,,3.45,20.0,,,,,08/2020,Occupational Expert
17-2131.00,21167,IM,,3.37,19.0,,,,,08/2020,Occupational Expert
17-2131.00,9019,IM,,3.22,18.0,,,,,08/2020,Occupational Expert
17-2131.00,9011,IM,,3.18,17.0,,,,,08/2020,Occupational Expert
17-2131.00,9018,IM,,3.16,19.0,,,,,08/2020,Occupational Expert
17-2131.00,9020,IM,,3.43,14.0,,,,,08/2020,Occupational Expert
17-2141.00,1411,IM,,4.3,82.0,0.1496,3.9975,4.5927,N,08/2024,Incumbent
17-2141.00,20733,IM,,4.18,83.0,0.1622,3.8591,4.5046,N,08/2024,Incumbent
17-2141.00,20736,IM,,4.15,80.0,0.0883,3.979,4.3305,N,08/2024,Incumbent
17-2141.00,1412,IM,,3.97,82.0,0.2047,3.5603,4.3749,N,08/2024,Incumbent
17-2141.00,20734,IM,,3.76,72.0,0.139,3.4826,4.037,N,08/2024,Incumbent
17-2141.00,1421,IM,,3.75,78.0,0.1442,3.4624,4.0368,N,08/2024,Incumbent
17-2141.00,1413,IM,,3.61,66.0,0.1242,3.3625,3.8585,N,08/2024,Incumbent
17-2141.00,20741,IM,,3.47,62.0,0.191,3.0894,3.8531,N,08/2024,Incumbent
17-2141.00,1419,IM,,3.47,58.0,0.2329,3.0013,3.9342,N,08/2024,Incumbent
17-2141.00,20737,IM,,3.46,66.0,0.0955,3.2741,3.6557,N,08/2024,Incumbent
17-2141.00,1420,IM,,3.42,64.0,0.1381,3.1464,3.6982,N,08/2024,Incumbent
17-2141.00,20735,IM,,3.37,73.0,0.1766,3.0155,3.7194,N,08/2024,Incumbent
17-2141.00,1418,IM,,3.35,69.0,0.1118,3.1255,3.5715,N,08/2024,Incumbent
17-2141.00,1429,IM,,3.29,54.0,0.1153,3.0618,3.5244,N,08/2024,Incumbent
17-2141.00,20738,IM,,3.21,56.0,0.2143,2.7804,3.6394,N,08/2024,Incumbent
17-2141.00,1423,IM,,3.11,60.0,0.2651,2.5787,3.6398,N,08/2024,Incumbent
17-2141.00,19628,IM,,3.96,36.0,0.2936,3.3661,4.558,N,08/2024,Incumbent
17-2141.00,19627,IM,,3.83,18.0,0.0673,3.6861,3.97,N,08/2024,Incumbent
17-2141.00,19631,IM,,3.66,26.0,0.1388,3.3723,3.944,N,08/2024,Incumbent
17-2141.00,20739,IM,,3.57,59.0,0.1826,3.2044,3.9356,N,08/2024,Incumbent
17-2141.00,1430,IM,,3.54,35.0,0.2624,3.0105,4.077,N,08/2024,Incumbent
17-2141.00,19629,IM,,3.5,17.0,0.1968,3.0793,3.9138,N,08/2024,Incumbent
17-2141.00,19632,IM,,3.48,27.0,0.2194,3.0278,3.9299,N,08/2024,Incumbent
17-2141.00,19630,IM,,3.45,32.0,0.0768,3.2926,3.6059,N,08/2024,Incumbent
17-2141.00,20742,IM,,3.25,60.0,0.1249,3.0022,3.502,N,08/2024,Incumbent
17-2141.00,1431,IM,,3.19,51.0,0.1506,2.8904,3.4953,N,08/2024,Incumbent
17-2141.00,1427,IM,,3.17,49.0,0.1578,2.8498,3.4842,N,08/2024,Incumbent
17-2141.00,20740,IM,,2.86,22.0,0.3572,2.1176,3.6032,N,08/2024,Incumbent
17-2141.01,16408,IM,,4.18,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16407,IM,,4.14,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16417,IM,,4.14,22.0,,,,,08/2022,Occupational Expert
17-2141.01,19946,IM,,3.95,22.0,,,,,08/2022,Occupational Expert
17-2141.01,19950,IM,,3.95,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16419,IM,,3.95,21.0,,,,,08/2022,Occupational Expert
17-2141.01,16414,IM,,3.8,20.0,,,,,08/2022,Occupational Expert
17-2141.01,19951,IM,,3.77,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16406,IM,,3.77,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16403,IM,,3.73,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16399,IM,,3.73,22.0,,,,,08/2022,Occupational Expert
17-2141.01,19945,IM,,3.68,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16413,IM,,3.68,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16412,IM,,3.64,22.0,,,,,08/2022,Occupational Expert
17-2141.01,19949,IM,,3.59,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16415,IM,,3.59,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16398,IM,,3.55,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16405,IM,,3.42,19.0,,,,,08/2022,Occupational Expert
17-2141.01,16420,IM,,3.42,19.0,,,,,08/2022,Occupational Expert
17-2141.01,16411,IM,,3.35,20.0,,,,,08/2022,Occupational Expert
17-2141.01,16418,IM,,3.32,22.0,,,,,08/2022,Occupational Expert
17-2141.01,19947,IM,,3.29,21.0,,,,,08/2022,Occupational Expert
17-2141.01,19948,IM,,3.28,18.0,,,,,08/2022,Occupational Expert
17-2141.01,19953,IM,,3.23,22.0,,,,,08/2022,Occupational Expert
17-2141.01,16410,IM,,3.11,18.0,,,,,08/2022,Occupational Expert
17-2141.01,19952,IM,,2.94,17.0,,,,,08/2022,Occupational Expert
17-2141.02,16438,IM,,4.25,20.0,,,,,08/2022,Occupational Expert
17-2141.02,16428,IM,,4.24,21.0,,,,,08/2022,Occupational Expert
17-2141.02,16429,IM,,4.19,21.0,,,,,08/2022,Occupational Expert
17-2141.02,16434,IM,,4.17,18.0,,,,,08/2022,Occupational Expert
17-2141.02,16437,IM,,3.84,19.0,,,,,08/2022,Occupational Expert
17-2141.02,16423,IM,,3.8,20.0,,,,,08/2022,Occupational Expert
17-2141.02,16426,IM,,3.75,20.0,,,,,08/2022,Occupational Expert
17-2141.02,16422,IM,,3.75,20.0,,,,,08/2022,Occupational Expert
17-2141.02,16436,IM,,3.74,19.0,,,,,08/2022,Occupational Expert
17-2141.02,19638,IM,,3.72,18.0,,,,,08/2022,Occupational Expert
17-2141.02,16432,IM,,3.71,17.0,,,,,08/2022,Occupational Expert
17-2141.02,19633,IM,,3.71,17.0,,,,,08/2022,Occupational Expert
17-2141.02,16424,IM,,3.7,20.0,,,,,08/2022,Occupational Expert
17-2141.02,16431,IM,,3.68,19.0,,,,,08/2022,Occupational Expert
17-2141.02,16433,IM,,3.63,19.0,,,,,08/2022,Occupational Expert
17-2141.02,19635,IM,,3.62,16.0,,,,,08/2022,Occupational Expert
17-2141.02,16425,IM,,3.62,21.0,,,,,08/2022,Occupational Expert
17-2141.02,19636,IM,,3.61,18.0,,,,,08/2022,Occupational Expert
17-2141.02,16435,IM,,3.59,17.0,,,,,08/2022,Occupational Expert
17-2141.02,16427,IM,,3.56,18.0,,,,,08/2022,Occupational Expert
17-2141.02,16439,IM,,3.5,18.0,,,,,08/2022,Occupational Expert
17-2141.02,16430,IM,,3.44,18.0,,,,,08/2022,Occupational Expert
17-2141.02,19637,IM,,3.28,18.0,,,,,08/2022,Occupational Expert
17-2141.02,16421,IM,,3.21,19.0,,,,,08/2022,Occupational Expert
17-2141.02,19634,IM,,3.2,15.0,,,,,08/2022,Occupational Expert
17-2151.00,3569,IM,,4.38,56.0,0.0796,4.22,4.539,N,08/2018,Incumbent
17-2151.00,3561,IM,,4.08,54.0,0.1314,3.8188,4.3458,N,08/2018,Incumbent
17-2151.00,3568,IM,,3.98,48.0,0.1421,3.6912,4.263,N,08/2018,Incumbent
17-2151.00,3562,IM,,3.95,51.0,0.1076,3.7355,4.1678,N,08/2018,Incumbent
17-2151.00,3565,IM,,3.8,51.0,0.0589,3.685,3.9216,N,08/2018,Incumbent
17-2151.00,3566,IM,,3.78,50.0,0.1278,3.5191,4.033,N,08/2018,Incumbent
17-2151.00,18610,IM,,3.76,46.0,0.135,3.4897,4.0335,N,08/2018,Incumbent
17-2151.00,3563,IM,,3.74,52.0,0.2181,3.2978,4.1734,N,08/2018,Incumbent
17-2151.00,3567,IM,,3.67,54.0,0.1462,3.3797,3.9663,N,08/2018,Incumbent
17-2151.00,3571,IM,,4.07,32.0,0.2535,3.5575,4.5915,N,08/2018,Incumbent
17-2151.00,3570,IM,,3.85,42.0,0.1567,3.5339,4.1669,N,08/2018,Incumbent
17-2151.00,3574,IM,,3.81,41.0,0.1667,3.4729,4.1469,N,08/2018,Incumbent
17-2151.00,3575,IM,,3.79,38.0,0.1246,3.5396,4.0447,N,08/2018,Incumbent
17-2151.00,3572,IM,,3.7,39.0,0.2079,3.2799,4.1214,N,08/2018,Incumbent
17-2151.00,3573,IM,,3.62,37.0,0.2223,3.1646,4.0664,N,08/2018,Incumbent
17-2151.00,3576,IM,,3.38,33.0,0.227,2.9136,3.8386,N,08/2018,Incumbent
17-2151.00,3578,IM,,2.96,22.0,0.2485,2.4442,3.4778,N,08/2018,Incumbent
17-2151.00,3577,IM,,2.9,39.0,0.179,2.5343,3.2588,N,08/2018,Incumbent
17-2161.00,5384,IM,,4.5,18.0,,,,,08/2024,Occupational Expert
17-2161.00,5380,IM,,4.48,21.0,,,,,08/2024,Occupational Expert
17-2161.00,5385,IM,,4.44,18.0,,,,,08/2024,Occupational Expert
17-2161.00,5379,IM,,4.35,17.0,,,,,08/2024,Occupational Expert
17-2161.00,5389,IM,,4.28,18.0,,,,,08/2024,Occupational Expert
17-2161.00,5383,IM,,4.19,16.0,,,,,08/2024,Occupational Expert
17-2161.00,19642,IM,,4.06,18.0,,,,,08/2024,Occupational Expert
17-2161.00,5387,IM,,4.05,19.0,,,,,08/2024,Occupational Expert
17-2161.00,20956,IM,,4.05,20.0,,,,,08/2024,Occupational Expert
17-2161.00,19643,IM,,4.05,21.0,,,,,08/2024,Occupational Expert
17-2161.00,19641,IM,,3.95,20.0,,,,,08/2024,Occupational Expert
17-2161.00,5388,IM,,3.81,16.0,,,,,08/2024,Occupational Expert
17-2161.00,19640,IM,,3.75,16.0,,,,,08/2024,Occupational Expert
17-2161.00,20958,IM,,3.59,17.0,,,,,08/2024,Occupational Expert
17-2161.00,5386,IM,,3.58,19.0,,,,,08/2024,Occupational Expert
17-2161.00,20959,IM,,3.5,18.0,,,,,08/2024,Occupational Expert
17-2161.00,5382,IM,,3.44,16.0,,,,,08/2024,Occupational Expert
17-2161.00,19639,IM,,3.42,19.0,,,,,08/2024,Occupational Expert
17-2161.00,20957,IM,,3.29,17.0,,,,,08/2024,Occupational Expert
17-2161.00,5381,IM,,3.1,21.0,,,,,08/2024,Occupational Expert
17-2171.00,3582,IM,,4.16,47.0,0.2645,3.6296,4.6944,N,08/2020,Incumbent
17-2171.00,3580,IM,,4.09,47.0,0.1163,3.8536,4.3218,N,08/2020,Incumbent
17-2171.00,3586,IM,,4.04,47.0,0.0713,3.8938,4.181,N,08/2020,Incumbent
17-2171.00,3581,IM,,3.99,45.0,0.105,3.7833,4.2067,N,08/2020,Incumbent
17-2171.00,3584,IM,,3.99,54.0,0.1523,3.6874,4.2982,N,08/2020,Incumbent
17-2171.00,3583,IM,,3.96,47.0,0.1451,3.67,4.254,N,08/2020,Incumbent
17-2171.00,3585,IM,,3.95,48.0,0.2359,3.4706,4.4196,N,08/2020,Incumbent
17-2171.00,3579,IM,,3.83,46.0,0.1329,3.5666,4.1018,N,08/2020,Incumbent
17-2171.00,3587,IM,,3.77,50.0,0.1022,3.5674,3.9782,N,08/2020,Incumbent
17-2171.00,3591,IM,,3.67,48.0,0.1713,3.3274,4.0166,N,08/2020,Incumbent
17-2171.00,3598,IM,,3.65,47.0,0.135,3.3745,3.9181,N,08/2020,Incumbent
17-2171.00,3588,IM,,3.62,53.0,0.1181,3.3791,3.8533,N,08/2020,Incumbent
17-2171.00,3589,IM,,3.47,49.0,0.196,3.0742,3.8624,N,08/2020,Incumbent
17-2171.00,3600,IM,,4.12,26.0,0.19,3.7252,4.5077,N,08/2020,Incumbent
17-2171.00,3590,IM,,3.97,36.0,0.1785,3.6041,4.3289,N,08/2020,Incumbent
17-2171.00,3596,IM,,3.78,40.0,0.3258,3.1234,4.4412,N,08/2020,Incumbent
17-2171.00,3592,IM,,3.74,37.0,0.1515,3.4369,4.0515,N,08/2020,Incumbent
17-2171.00,3594,IM,,3.71,32.0,0.166,3.3672,4.0445,N,08/2020,Incumbent
17-2171.00,3595,IM,,3.62,25.0,0.1091,3.3949,3.8453,N,08/2020,Incumbent
17-2171.00,3593,IM,,3.46,34.0,0.2221,3.0051,3.909,N,08/2020,Incumbent
17-2171.00,3597,IM,,3.38,31.0,0.2595,2.8515,3.9116,N,08/2020,Incumbent
17-2171.00,3599,IM,,3.09,25.0,0.2809,2.508,3.6674,N,08/2020,Incumbent
17-2171.00,3601,IM,,3.07,35.0,0.2223,2.615,3.5187,N,08/2020,Incumbent
17-2199.03,20854,IM,,4.48,21.0,,,,,07/2016,Occupational Expert
17-2199.03,20855,IM,,4.33,21.0,,,,,07/2016,Occupational Expert
17-2199.03,18156,IM,,4.15,20.0,,,,,07/2016,Occupational Expert
17-2199.03,20856,IM,,4.14,22.0,,,,,07/2016,Occupational Expert
17-2199.03,18150,IM,,4.0,19.0,,,,,07/2016,Occupational Expert
17-2199.03,20857,IM,,3.95,21.0,,,,,07/2016,Occupational Expert
17-2199.03,18159,IM,,3.95,19.0,,,,,07/2016,Occupational Expert
17-2199.03,20858,IM,,3.9,21.0,,,,,07/2016,Occupational Expert
17-2199.03,20859,IM,,3.9,21.0,,,,,07/2016,Occupational Expert
17-2199.03,18151,IM,,3.85,20.0,,,,,07/2016,Occupational Expert
17-2199.03,18148,IM,,3.81,21.0,,,,,07/2016,Occupational Expert
17-2199.03,20860,IM,,3.8,20.0,,,,,07/2016,Occupational Expert
17-2199.03,20861,IM,,3.71,21.0,,,,,07/2016,Occupational Expert
17-2199.03,18165,IM,,3.61,18.0,,,,,07/2016,Occupational Expert
17-2199.03,18166,IM,,3.57,21.0,,,,,07/2016,Occupational Expert
17-2199.03,20862,IM,,3.45,20.0,,,,,07/2016,Occupational Expert
17-2199.03,20863,IM,,3.4,20.0,,,,,07/2016,Occupational Expert
17-2199.03,18157,IM,,3.35,20.0,,,,,07/2016,Occupational Expert
17-2199.03,19648,IM,,3.27,15.0,,,,,07/2016,Occupational Expert
17-2199.03,20864,IM,,3.2,20.0,,,,,07/2016,Occupational Expert
17-2199.03,18149,IM,,2.52,21.0,,,,,07/2016,Occupational Expert
17-2199.05,16467,IM,,4.22,46.0,0.1813,3.8531,4.5836,N,08/2022,Incumbent
17-2199.05,16482,IM,,3.97,47.0,0.2304,3.5071,4.4346,N,08/2022,Incumbent
17-2199.05,16474,IM,,3.89,48.0,0.1703,3.543,4.2282,N,08/2022,Incumbent
17-2199.05,16470,IM,,3.81,53.0,0.1312,3.5426,4.0691,N,08/2022,Incumbent
17-2199.05,16468,IM,,3.76,54.0,0.1344,3.4888,4.028,N,08/2022,Incumbent
17-2199.05,23946,IM,,3.75,51.0,0.1024,3.5404,3.9519,N,08/2022,Incumbent
17-2199.05,16471,IM,,3.7,45.0,0.158,3.3856,4.0224,N,08/2022,Incumbent
17-2199.05,16483,IM,,3.62,46.0,0.0997,3.4203,3.8219,N,08/2022,Incumbent
17-2199.05,16465,IM,,3.6,43.0,0.2038,3.1843,4.0069,N,08/2022,Incumbent
17-2199.05,16466,IM,,3.59,42.0,0.1099,3.3723,3.8163,N,08/2022,Incumbent
17-2199.05,16464,IM,,3.57,48.0,0.1788,3.212,3.9315,N,08/2022,Incumbent
17-2199.05,16479,IM,,3.55,49.0,0.1557,3.2364,3.8627,N,08/2022,Incumbent
17-2199.05,23947,IM,,3.53,33.0,0.2134,3.0939,3.9633,N,08/2022,Incumbent
17-2199.05,16469,IM,,3.51,53.0,0.1707,3.1716,3.8568,N,08/2022,Incumbent
17-2199.05,23948,IM,,3.42,47.0,0.1453,3.1305,3.7156,N,08/2022,Incumbent
17-2199.05,16480,IM,,3.61,17.0,0.2014,3.184,4.0381,N,08/2022,Incumbent
17-2199.05,19655,IM,,3.48,45.0,0.1312,3.2113,3.7403,N,08/2022,Incumbent
17-2199.05,16476,IM,,3.46,31.0,0.4545,2.5364,4.3928,N,08/2022,Incumbent
